plan_order,wave,wave_name,batch,batch_name,chunk,risk,date,short_sha,sha,author,subject,rationale,top_dirs,files_changed,insertions,deletions,goal,validation,commit_url,new_in_revision
90,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,2026-03-10,8e003aa6cf,8e003aa6cff906c19efa4e7e4b0f7b1b38ab91fd,Thomas Trompette,Fix permission settings page (#18535),core product bug fix,packages/twenty-front (2),2,4,3,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/8e003aa6cff906c19efa4e7e4b0f7b1b38ab91fd,no
91,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,2026-03-11,413d1124bb,413d1124bbba023abbbd38109c40d2ea98bbedb0,Abdul Rahman,Fix navigation drag drop indicator position (#18515),core product bug fix,packages/twenty-front (6),6,81,125,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/413d1124bbba023abbbd38109c40d2ea98bbedb0,no
92,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,2026-03-11,a024a04e01,a024a04e01ce8571492a2a26aa5aecfae05bee75,Thomas Trompette,Fix breadcrumb infinite loop (#18561),core product bug fix,packages/twenty-front (2),2,16,13,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/a024a04e01ce8571492a2a26aa5aecfae05bee75,no
93,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,2026-03-11,2af3121c51,2af3121c516424f8c0538666ddfb7aa9204fb379,Thomas Trompette,Fix dashboard creation + role permission page design (#18565),dashboard creation bug,packages/twenty-front (8),8,45,39,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/2af3121c516424f8c0538666ddfb7aa9204fb379,no
94,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,2026-03-12,102b49f919,102b49f9196271fe18dc556e1ce6f3566d7949d8,Abdul Rahman,Fix new navbar item position after reordering existing items (#18516),core product bug fix,packages/twenty-front (1),1,7,5,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/102b49f9196271fe18dc556e1ce6f3566d7949d8,no
95,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,2026-03-16,32d7fa09a3,32d7fa09a33b048d1663aec5a16503ed28b96b60,Thomas Trompette,Fix timeline activities + breadcrumb (#18626),core product bug fix,packages/twenty-front (4),4,7,9,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/32d7fa09a33b048d1663aec5a16503ed28b96b60,no
96,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,2026-03-19,a9f8a7e1fa,a9f8a7e1fa4f0d47df8d6af92c0ad69109ec9027,Abdul Rahman,Fix: prevent record navigation when clicking Remove from favorite in nav sidebar (#18760),core product bug fix,packages/twenty-front (7),7,83,134,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/a9f8a7e1fa4f0d47df8d6af92c0ad69109ec9027,no
97,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,2026-03-20,7c8f060b08,7c8f060b08d198f2096ec9cafa109e7274d75fdf,Sri Hari Haran Sharma,Fix orphan navigation menu items for deleted views (#18791),core product bug fix,"packages/twenty-server (6), packages/twenty-front (3)",9,160,8,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/7c8f060b08d198f2096ec9cafa109e7274d75fdf,no
98,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,2026-03-20,3d49c21b51,3d49c21b516b8f18b5c424a5be9cb74d06e0f31b,Charles Bochet,fix: decouple viewPicker favorite detection from sorted navigation menu items (#18803),core product bug fix,packages/twenty-front (1),1,3,4,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/3d49c21b516b8f18b5c424a5be9cb74d06e0f31b,no
99,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,2026-03-21,03a2abb305,03a2abb305d7206879308c689be85b437336191f,Charles Bochet,fix: board view loads all records instead of showing skeleton placeholders (#18824),core product bug fix,packages/twenty-front (2),2,34,1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/03a2abb305d7206879308c689be85b437336191f,no
100,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,2026-03-23,e2c85b5af0,e2c85b5af00ca56622899b24b0f8f7f804bbd538,Thomas des Francs,Fix workspace dropdown truncation and center auth titles (#18869),core product bug fix,packages/twenty-front (5),5,25,12,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/e2c85b5af00ca56622899b24b0f8f7f804bbd538,no
101,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-24,8eff9efab2,8eff9efab2d26ceaa9f3bd4aa61884a9bf922100,Baptiste Devessier,Fix rich text widget edition (#18899),core product bug fix,packages/twenty-front (1),1,1,0,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/8eff9efab2d26ceaa9f3bd4aa61884a9bf922100,no
102,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,medium,2026-03-24,c1ec5567ce,c1ec5567ce7235a34cdbab8c704fdabc8bef4ed3,Abdul Rahman,fix: insert-before folder for workspace DnD and add-to-nav drags (#18789),core product bug fix,packages/twenty-front (16),16,215,107,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/c1ec5567ce7235a34cdbab8c704fdabc8bef4ed3,no
103,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-25,2bfd2f6b85,2bfd2f6b85227b180ed7052d22373bbc94d93fb8,Abdul Rahman,fix navigation menu item overflow issue (#18937),core product bug fix,packages/twenty-front (1),1,1,0,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/2bfd2f6b85227b180ed7052d22373bbc94d93fb8,no
104,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-26,b1e449d764,b1e449d7642f660f2911458f6928675d5a353dc8,nitin,fix dashboard widget edit mode content (#18965),core product bug fix,packages/twenty-front (2),2,4,1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/b1e449d7642f660f2911458f6928675d5a353dc8,no
105,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-26,b651a74b1f,b651a74b1fa745bd3a3d6950c4a5b481fe03277c,Abdul Rahman,"fix: hide ""Move to folder"" when no destination folder is available (#18992)",core product bug fix,packages/twenty-front (3),3,34,13,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/b651a74b1fa745bd3a3d6950c4a5b481fe03277c,no
106,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-26,2e015ee68d,2e015ee68dbeb2cc6cd8713b977ccbcf8333fd46,Thomas Trompette,Add missing row lvl permission check on Kanban view (#19002),core product bug fix,"packages/twenty-front (2), packages/twenty-server (2)",4,269,9,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/2e015ee68dbeb2cc6cd8713b977ccbcf8333fd46,no
107,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,medium,2026-03-26,8ef99671e2,8ef99671e215cf1151526b4f754df54424ca718f,Lucas Bordeau,Fix board drag and drop issues (#19005),core product bug fix,packages/twenty-front (13),13,152,68,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/8ef99671e215cf1151526b4f754df54424ca718f,no
108,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-26,31718d163c,31718d163cd9b9a99b291f3fe75c2e4757962edf,nitin,[Dashboards] fix rich text widget AGAIN (#19017),core product bug fix,packages/twenty-front (1),1,6,0,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/31718d163cd9b9a99b291f3fe75c2e4757962edf,no
109,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-27,68f5e70ade,68f5e70ade354e513a8eeeba3e1fb13f463d1cd0,BugIsGod,fix: sign file URLs in timeline and file loss on click outside (#19001),core product bug fix,packages/twenty-front (1),1,10,3,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/68f5e70ade354e513a8eeeba3e1fb13f463d1cd0,no
110,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-30,ee479001a1,ee479001a1c451fff750be7320b0f2bc70647a27,Raphaël Bosi,Fix workspace dropdown (#19106),core product bug fix,packages/twenty-front (1),1,2,0,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/ee479001a1c451fff750be7320b0f2bc70647a27,no
111,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-30,b8374f5531,b8374f5531cec0a3cd7d531e6f989b6d64937693,Raphaël Bosi,Fix export view (#19117),core product bug fix,packages/twenty-front (1),1,9,1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/b8374f5531cec0a3cd7d531e6f989b6d64937693,no
112,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,2026-03-30,696a202bb9,696a202bb9d648ef832d99d1764a5a5594e13366,Raphaël Bosi,Fix navigation menu edition (#19115),core product bug fix,packages/twenty-front (5),5,133,46,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/696a202bb9d648ef832d99d1764a5a5594e13366,no
113,3,Frontend Correctness,3A,Navigation and Record UI,3A-03,low,2026-03-31,bcca5d0002,bcca5d00025930ab85331b3c03f07c505a40c344,BugIsGod,fix: show disabled file chip when file no longer exists in timeline (#19045),core product bug fix,"packages/twenty-front (3), packages/twenty-ui (2)",5,71,18,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/bcca5d00025930ab85331b3c03f07c505a40c344,no
114,3,Frontend Correctness,3A,Navigation and Record UI,3A-03,low,2026-03-31,176e81cd76,176e81cd76e59f7c44be87f39b48a5365bf78441,BugIsGod,fix: clear navigation stack immediately in goBackFromSidePanel (#19153),core product bug fix,packages/twenty-front (3),3,36,3,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/176e81cd76e59f7c44be87f39b48a5365bf78441,no
115,3,Frontend Correctness,3A,Navigation and Record UI,3A-03,low,2026-04-03,da72075841,da7207584199b6ba6c055d0c12e5ba23f700257c,Raphaël Bosi,Fix search fallback command menu item (#19304),core product bug fix,packages/twenty-front (1),1,15,2,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/da7207584199b6ba6c055d0c12e5ba23f700257c,no
116,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-02,1b67ba6a75,1b67ba6a75f39427ccffae6211ebfc5f992242c3,neo773,Draft emails fix onblur on text input and callout banner component overflow (#18310),core product bug fix,"packages/twenty-front (3), packages/twenty-ui (1)",4,13,2,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/1b67ba6a75f39427ccffae6211ebfc5f992242c3,no
117,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,medium,2026-03-05,7293d4c1f8,7293d4c1f8f2fdc3207b34c1893d5f6bc91e0eb9,martmull,Fix missing test input values (#18424),core product bug fix,packages/twenty-front (7),7,129,75,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/7293d4c1f8f2fdc3207b34c1893d5f6bc91e0eb9,no
118,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-06,cac4999e9f,cac4999e9fc782e3c994b98fad969d2dd1419f2a,kpdev,fix: handle Escape in date/datetime pickers and remove ValidationStep any (#18107),core product bug fix,packages/twenty-front (4),4,2,6,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/cac4999e9fc782e3c994b98fad969d2dd1419f2a,no
119,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-10,c73a660e46,c73a660e46c0fa5f6fc64dfe8f163830981bf3b2,Thomas Trompette,Fix task rows (#18522),core product bug fix,packages/twenty-front (4),4,5,4,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/c73a660e46c0fa5f6fc64dfe8f163830981bf3b2,no
120,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-10,7b9939b43e,7b9939b43e02308ec7c984bf434808a3843b1bcc,neo773,fix: validate input before formatting in MultiItemFieldInput (#18334),core product bug fix,packages/twenty-front (5),5,232,54,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/7b9939b43e02308ec7c984bf434808a3843b1bcc,no
121,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-10,25d9f2fcce,25d9f2fcceeba310e1053a1d8c29f879d9cf4fdd,kpdev,fix: respect number format in currency input (#18469),core product bug fix,packages/twenty-front (4),4,94,3,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/25d9f2fcceeba310e1053a1d8c29f879d9cf4fdd,no
122,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,medium,2026-03-11,1d95670252,1d956702526ab74c34a61afc3cc36535eb085cc8,Thomas Trompette,Fix form field select + form field number (#18538),core product bug fix,"packages/twenty-front (5), packages/twenty-ui (1)",6,25,20,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/1d956702526ab74c34a61afc3cc36535eb085cc8,no
123,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-12,660536d6bb,660536d6bb66276cd09bb9315faa65e1d3a25f92,Charles Bochet,Fix onboarding flow: workspace creation modal and invite team skip (#18577),core product bug fix,packages/twenty-front (2),2,19,6,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/660536d6bb66276cd09bb9315faa65e1d3a25f92,no
124,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-18,928194cee4,928194cee48fca1b8713ce35af9c3ab1536d81db,neo773,fix Draft Email stuck Callout (#18719),core product bug fix,packages/twenty-front (1),1,4,3,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/928194cee48fca1b8713ce35af9c3ab1536d81db,no
125,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,2026-03-20,91793ef930,91793ef930d8eb7c9198b9c5392bd2b0c128bea1,Charles Bochet,fix: update workspace members state on profile onboarding completion (#18799),core product bug fix,packages/twenty-front (1),1,19,0,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/91793ef930d8eb7c9198b9c5392bd2b0c128bea1,no
126,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-02,low,2026-03-22,d16b94bde6,d16b94bde64132b6d06815288d8cb1512944ce9e,BugIsGod,fix: reset form defaultValues after save to fix dirty detection (#18835),core product bug fix,packages/twenty-front (2),2,4,2,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/d16b94bde64132b6d06815288d8cb1512944ce9e,no
127,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-02,medium,2026-03-26,36c7c99e34,36c7c99e34e170d78685f3d66095d016927783c9,Abdul Rahman,fix: hide objects with no addable views in sidebar view picker (#18993),core product bug fix,packages/twenty-front (6),6,24,34,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/36c7c99e34e170d78685f3d66095d016927783c9,no
128,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-02,low,2026-04-06,3747af4b5a,3747af4b5ac6cb550ce930c97d64fcd59357b302,Rohit Sekh,Fix readonly date still editable (#19334),core product bug fix,packages/twenty-front (3),3,117,1,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/3747af4b5ac6cb550ce930c97d64fcd59357b302,no
129,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-02,low,2026-04-07,dd2a09576b,dd2a09576b6b759deeb4f96a7640557822f56289,neo773,Imap-smtp-caldav form fixes (#19392),core product bug fix,packages/twenty-front (3),3,23,14,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/dd2a09576b6b759deeb4f96a7640557822f56289,no
130,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-02,low,2026-04-07,61abfd103d,61abfd103d5067c259ba478392c37d7e53586e89,neo773,fix TextVariableEditor layout and add support for multi line paste  (#18721),core product bug fix,packages/twenty-front (3),3,233,29,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/61abfd103d5067c259ba478392c37d7e53586e89,no
131,3,Frontend Correctness,3C,AI and Chat Surface Fixes,3C-01,low,2026-03-10,0fe7e9d5fe,0fe7e9d5fe9e76a2b39707f07ab0ebef0b402cf1,Thomas des Francs,small ai chat fix (#18547),core product bug fix,packages/twenty-front (1),1,4,4,Pull small AI/chat bug fixes without importing larger AI product changes.,"Smoke AI chat compose, message preview, and thread rendering.",https://github.com/twentyhq/twenty/commit/0fe7e9d5fe9e76a2b39707f07ab0ebef0b402cf1,no
132,3,Frontend Correctness,3C,AI and Chat Surface Fixes,3C-01,low,2026-03-20,26139ee463,26139ee463b4dee432958e9aa37e5b2235d0feb4,victorjzq,fix: stop event propagation when removing file in AI chat preview (#18779),core product bug fix,packages/twenty-front (1),1,7,5,Pull small AI/chat bug fixes without importing larger AI product changes.,"Smoke AI chat compose, message preview, and thread rendering.",https://github.com/twentyhq/twenty/commit/26139ee463b4dee432958e9aa37e5b2235d0feb4,no
133,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,high,2026-03-06,1f1da901ea,1f1da901ea394d5e52b99bc161eeb1d8e94a7fae,Thomas Trompette,Bug fixes batch (#18457),core product bug fix,"packages/twenty-server (2), packages/twenty-front (1), packages/twenty-ui (1)",4,62,15,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/1f1da901ea394d5e52b99bc161eeb1d8e94a7fae,no
134,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,high,2026-03-12,6a3281a18d,6a3281a18ddc1dca45e262d0c7225c74f970e13f,Thomas Trompette,Bug fix batches (#18588),core product bug fix,"packages/twenty-front (3), packages/twenty-ui (2), packages/twenty-server (1)",6,39,11,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/6a3281a18ddc1dca45e262d0c7225c74f970e13f,no
135,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,low,2026-03-16,67866ff59c,67866ff59c0527eb639b70e5761731634dc97f68,Abdullah.,fix: expr-eval related dependabot alerts (#18661),core product bug fix,"packages/twenty-shared (4), yarn.lock (1)",5,9,9,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/67866ff59c0527eb639b70e5761731634dc97f68,no
136,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,high,2026-03-16,c4e55d08ff,c4e55d08ff0ee0aa30a4697f9e7518e4b0c67ab4,Félix Malfait,fix: allow identical singular and plural labels for objects (#18678),core product bug fix,"packages/twenty-front (10), packages/twenty-server (9), packages/twenty-shared (4)",23,204,1572,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/c4e55d08ff0ee0aa30a4697f9e7518e4b0c67ab4,no
137,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,low,2026-03-20,cd594ce8bd,cd594ce8bd18bfc6e7b5775e8ba861008d366602,Abdul Rahman,Fix: Hide object from Opened section when it already has a workspace nav item (#18766),core product bug fix,packages/twenty-front (2),2,13,72,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/cd594ce8bd18bfc6e7b5775e8ba861008d366602,no
138,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,high,2026-03-21,42269cc45b,42269cc45bcf8d2131dbb17d3cc6428f1e341733,Dailin,fix(links): preserve percent-encoded URLs during normalization (#18792),core product bug fix,"packages/twenty-shared (12), packages/twenty-front (7), packages/twenty-server (4)",23,182,129,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/42269cc45bcf8d2131dbb17d3cc6428f1e341733,no
139,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,low,2026-03-20,2a1d22d870,2a1d22d8706d4b99c3c988fda5f0b13d14a3e644,Abdul Rahman,Fix page scrolling when layout customization bar is visible (#18802),core product bug fix,packages/twenty-front (1),1,2,2,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/2a1d22d8706d4b99c3c988fda5f0b13d14a3e644,no
140,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,low,2026-03-22,96c5728ed0,96c5728ed09427df38ab12459ca38944b53a271f,Félix Malfait,fix: prevent localStorage bloat from derived fields on mock metadata (#18809),core product bug fix,packages/twenty-front (3),3,16,11,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/96c5728ed09427df38ab12459ca38944b53a271f,no
141,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,low,2026-03-23,dc00701448,dc00701448791bc0dc60674783d0483f7c44b1d7,sonarly[bot],Fix: TypeError: Cannot convert undefined or null to object (#18333),core product bug fix,packages/twenty-front (2),2,2,2,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/dc00701448791bc0dc60674783d0483f7c44b1d7,no
142,3,Frontend Correctness,3D,Misc Product Bugs,3D-01,medium,2026-03-24,7b6fb52df7,7b6fb52df779c792bd0f2d0f41b05eda5b58f4bc,Charles Bochet,fix: validate blocknote JSON in rich text fields (#18902),core product bug fix,"packages/twenty-front (7), packages/twenty-server (7)",14,209,145,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/7b6fb52df779c792bd0f2d0f41b05eda5b58f4bc,no
143,3,Frontend Correctness,3D,Misc Product Bugs,3D-02,high,2026-03-24,611947e031,611947e031c0a2e8a88e1fd99f13c3c4fc050053,Charles Bochet,"fix: metadata store lifecycle during sign-in, sign-out, and locale change (#18901)",core product bug fix,packages/twenty-front (36),36,395,161,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/611947e031c0a2e8a88e1fd99f13c3c4fc050053,no
144,3,Frontend Correctness,3D,Misc Product Bugs,3D-02,medium,2026-03-24,cec23e89fa,cec23e89facbc26e1a502162a6b86482262b6b8a,Samuel Arbibe,Fix batch update optimistic and prevent accidental mass-update (#17213),core product bug fix,packages/twenty-front (13),13,137,28,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/cec23e89facbc26e1a502162a6b86482262b6b8a,no
145,3,Frontend Correctness,3D,Misc Product Bugs,3D-02,low,2026-03-25,e1374e34a7,e1374e34a7707786ff360b9b31affc3ef2a99fdc,Thomas Trompette,Fix object permission override (#18948),core product bug fix,"packages/twenty-front (1), packages/twenty-server (1)",2,33,18,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/e1374e34a7707786ff360b9b31affc3ef2a99fdc,no
146,3,Frontend Correctness,3D,Misc Product Bugs,3D-02,low,2026-03-25,a8dad6c882,a8dad6c8820f67c4725ce56adf16687dcf96cc2d,Charles Bochet,Fix: default to allow-read when object permissions are not yet loaded (#18971),core product bug fix,packages/twenty-front (1),1,9,5,Catch remaining user-facing bugs that are neither workflow nor security issues.,Run focused smoke tests around the touched UI before moving on.,https://github.com/twentyhq/twenty/commit/a8dad6c8820f67c4725ce56adf16687dcf96cc2d,no
