plan_order,wave,wave_name,batch,batch_name,chunk,risk,review_index,date,short_sha,sha,subject,rationale,top_dirs,files_changed,goal,validation,commit_url
60,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-02,medium,306,2026-03-18,fb5b68f1d8,fb5b68f1d8eb6f82ba3c58a5950d4b99f821b927,Skip threads with no participants in timeline formatting (#18725),core app change worth pulling,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/fb5b68f1d8eb6f82ba3c58a5950d4b99f821b927
61,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-02,medium,309,2026-03-18,a8c445a1c2,a8c445a1c28e0f70ed799555b4ea35f86386971d,Treat Microsoft Graph 400 with empty body as transient error (#18726),core app change worth pulling,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/a8c445a1c28e0f70ed799555b4ea35f86386971d
62,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-02,medium,327,2026-03-18,394a3cef15,394a3cef15aefaae0ddc639f50b28155fa041624,fix: restore ViewFilter value stringification lost in converter removal (#18745),core product bug fix,packages/twenty-front (2),2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/394a3cef15aefaae0ddc639f50b28155fa041624
63,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-02,medium,338,2026-03-19,8005b35b56,8005b35b56838fa03a959b74d0a92bf482fbba29,Fix relation connect where failing on mixed-case email and URL (#18605),core product bug fix,"packages/twenty-server (7), packages/twenty-front (2)",9,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/8005b35b56838fa03a959b74d0a92bf482fbba29
64,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-02,medium,348,2026-03-20,217adc8d17,217adc8d177dd109228bb5075fe2f6b0041eb666,fix: add missing LEFT JOIN for relation fields in groupBy orderByForRecords (#18798),core product bug fix,packages/twenty-server (3),3,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/217adc8d177dd109228bb5075fe2f6b0041eb666
65,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,high,365,2026-03-21,cd651f57cb,cd651f57cba97fe4fd8fa119d1f7b8cb3307ecba,fix: prevent blank subdomain from being saved (#18812),core product bug fix,"packages/twenty-front (14), packages/twenty-shared (7), packages/twenty-server (4), packages/{twenty-server (1)",26,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/cd651f57cba97fe4fd8fa119d1f7b8cb3307ecba
66,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,high,370,2026-03-21,d69e4d7008,d69e4d7008068475b8d6e0730b8063312c0f44c8,fix: prevent FIND_RECORDS from silently dropping unresolved filter variables (#18814),core product bug fix,"packages/twenty-shared (10), packages/twenty-front (5), packages/twenty-server (1)",16,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/d69e4d7008068475b8d6e0730b8063312c0f44c8
67,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-02,medium,371,2026-03-22,246afe0f2a,246afe0f2a02ecdfb059a0a604a9bc4ea2b61d94,fix: skip chat messages query when thread ID is the unknown-thread default (#18828),core product bug fix,packages/twenty-front (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/246afe0f2a02ecdfb059a0a604a9bc4ea2b61d94
68,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,373,2026-03-22,bdaff0b7e2,bdaff0b7e29c36e67a84b6cf57ac5bb0c1dc0ebc,Fetch load more on group by (#18811),core app change worth pulling,packages/twenty-front (5),5,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/bdaff0b7e29c36e67a84b6cf57ac5bb0c1dc0ebc
69,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,430,2026-03-24,27c0ca975f,27c0ca975ff5f7b56ec2412776e48a6956b73176,Fix navigation “add before/after” insertion index (#18879),core product bug fix,packages/twenty-front (3),3,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/27c0ca975ff5f7b56ec2412776e48a6956b73176
70,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,438,2026-03-24,c94aa7316a,c94aa7316af87eeb9e8e8b34abfc3967edb03044,send X-Schema-Version header when metadataVersion is 0 (#18924),core app change worth pulling,"packages/twenty-front (1), packages/twenty-server (1)",2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/c94aa7316af87eeb9e8e8b34abfc3967edb03044
71,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,460,2026-03-25,e6bb39deea,e6bb39deea68a18f111e967d72a833423f7c9ab4,fix: reset throttle state on channel relaunch (#18843),core product bug fix,packages/twenty-server (3),3,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/e6bb39deea68a18f111e967d72a833423f7c9ab4
72,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,461,2026-03-25,523289efad,523289efad708ac079a15d08fe3d6c8a1bba32cb,Do not rollback on cache invalidation failure in workspace migration runner (#18947),core app change worth pulling,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/523289efad708ac079a15d08fe3d6c8a1bba32cb
73,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,494,2026-03-26,3c5796bdb0,3c5796bdb033c20d48b73e219588de9f90c0fba2,fix: handle dashboard filters referencing deleted fields (#18512),core product bug fix,packages/twenty-server (9),9,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/3c5796bdb033c20d48b73e219588de9f90c0fba2
74,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,496,2026-03-26,c28e637ea7,c28e637ea752c2380dd2ac30025e7757ea5e49ba,fix: prevent empty array `id.in` filter in single record picker (#18995),core product bug fix,packages/twenty-front (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/c28e637ea752c2380dd2ac30025e7757ea5e49ba
75,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,512,2026-03-26,e63a23ea00,e63a23ea002e307534a73e7c641a41a5c2775b73,Fix create new with filters (#18969),core product bug fix,packages/twenty-front (2),2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/e63a23ea002e307534a73e7c641a41a5c2775b73
76,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,525,2026-03-27,17424320e3,17424320e3a56110e688e8022212c7849b4ec93d,fix: gate command-menu-items query behind feature flag (#19029),core product bug fix,"packages/twenty-front (1), packages/twenty-server (1)",2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/17424320e3a56110e688e8022212c7849b4ec93d
77,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-03,medium,533,2026-03-27,c2b058a6a7,c2b058a6a74ac181d2e974e8fecbfcc099097fec,fix: use workspace-generated id for core dual-write in message folder save (#19038),core product bug fix,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/c2b058a6a74ac181d2e974e8fecbfcc099097fec
78,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,541,2026-03-27,191a277ddf,191a277ddf2b7aa00d5de299886d0c3c7802f34b,fix: invalidate rolesPermissions cache + add Docker Hub auth to CI (#19044),permission cache invalidation,".github (9), packages/twenty-server (2)",11,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/191a277ddf2b7aa00d5de299886d0c3c7802f34b
79,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,543,2026-03-27,cb44b22e15,cb44b22e1576253c3b855a63692c59511ecc1a5c,Fix INDEX view showing labelPlural instead of resolved view name in nav (#19049),core product bug fix,packages/twenty-front (4),4,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/cb44b22e1576253c3b855a63692c59511ecc1a5c
80,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,562,2026-03-30,ef8789fad6,ef8789fad683be6bf82af49ef27893f298f7b5b9,fix: convert empty parentFolderId to null in messageFolder core dual-write (#19110),core product bug fix,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/ef8789fad683be6bf82af49ef27893f298f7b5b9
81,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,565,2026-03-30,1109b89cd7,1109b89cd7a70b5672ca2f96d0e56b4cd1effa89,fix: use Redis metadata version for GraphQL response cache key (#19111),core product bug fix,"packages/twenty-server (2), packages/twenty-e2e-testing (1)",3,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/1109b89cd7a70b5672ca2f96d0e56b4cd1effa89
82,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,568,2026-03-30,d2cf05f4f4,d2cf05f4f4af74c84e07e4a0405b5bf83e2f964a,Fix - Not shared message on record index (#19103),core product bug fix,"packages/twenty-front (11), packages/twenty-ui (4)",15,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/d2cf05f4f4af74c84e07e4a0405b5bf83e2f964a
83,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,590,2026-03-31,e0630b8653,e0630b865303fbbb51f8c89f6a47f13ba2cb0bf7,Fix TransactionNotStartedError (#19155),core product bug fix,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/e0630b865303fbbb51f8c89f6a47f13ba2cb0bf7
84,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,657,2026-04-02,b8e7179a85,b8e7179a855da125cebcbe6fcdbb435bf4733bae,Add missing index on viewField.viewFieldGroupId (#19253),missing DB index,packages/twenty-server (2),2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/b8e7179a855da125cebcbe6fcdbb435bf4733bae
85,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,684,2026-04-02,43baf7b91c,43baf7b91c724c5116ba2375594944e03cb52dbc,fix: prepend UTF-8 BOM to fix non-Latin characters in csv (#19246),core product bug fix,packages/twenty-front (2),2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/43baf7b91c724c5116ba2375594944e03cb52dbc
86,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,736,2026-04-07,3f87d27d5d,3f87d27d5d919afb749ff1cee0ffdac013ef6459,fix: use AND instead of OR in neq filter for null-equivalent values (#19071),core product bug fix,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/3f87d27d5d919afb749ff1cee0ffdac013ef6459
87,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-04,medium,741,2026-04-07,601dc02ed7,601dc02ed71a7c6315c080e30d155fd2d3f56bf1,Fix s3 driver empty objects (#19361),core product bug fix,packages/twenty-server (1),1,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/601dc02ed71a7c6315c080e30d155fd2d3f56bf1
88,2,Backend Correctness,2B,"Data, Query, and Cache Fixes",2B-05,medium,746,2026-04-07,7c2a9abed4,7c2a9abed442da0fd72520b6a7727d8342f0a113,fix: prevent NaN in health indicator calculations (#19378),core product bug fix,packages/twenty-server (2),2,"Fix query semantics, data integrity, cache invalidation, and backend performance.","Exercise filters, relations, views, permissions, caching, and CSV/export flows.",https://github.com/twentyhq/twenty/commit/7c2a9abed442da0fd72520b6a7727d8342f0a113
89,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,125,2026-03-06,59029a0035,59029a003515b51c5d30ea5ea4961e9985096ac6,[Fix] : Dragged element is considered to be part of a dropdown in dashboard tab list (#18414),core app change worth pulling,packages/twenty-front (2),2,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/59029a003515b51c5d30ea5ea4961e9985096ac6
90,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,165,2026-03-10,8e003aa6cf,8e003aa6cff906c19efa4e7e4b0f7b1b38ab91fd,Fix permission settings page (#18535),core product bug fix,packages/twenty-front (2),2,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/8e003aa6cff906c19efa4e7e4b0f7b1b38ab91fd
91,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,182,2026-03-11,413d1124bb,413d1124bbba023abbbd38109c40d2ea98bbedb0,Fix navigation drag drop indicator position (#18515),core product bug fix,packages/twenty-front (6),6,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/413d1124bbba023abbbd38109c40d2ea98bbedb0
92,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,195,2026-03-11,a024a04e01,a024a04e01ce8571492a2a26aa5aecfae05bee75,Fix breadcrumb infinite loop (#18561),core product bug fix,packages/twenty-front (2),2,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/a024a04e01ce8571492a2a26aa5aecfae05bee75
93,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,196,2026-03-11,2af3121c51,2af3121c516424f8c0538666ddfb7aa9204fb379,Fix dashboard creation + role permission page design (#18565),dashboard creation bug,packages/twenty-front (8),8,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/2af3121c516424f8c0538666ddfb7aa9204fb379
94,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,197,2026-03-12,102b49f919,102b49f9196271fe18dc556e1ce6f3566d7949d8,Fix new navbar item position after reordering existing items (#18516),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/102b49f9196271fe18dc556e1ce6f3566d7949d8
95,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,276,2026-03-16,32d7fa09a3,32d7fa09a33b048d1663aec5a16503ed28b96b60,Fix timeline activities + breadcrumb (#18626),core product bug fix,packages/twenty-front (4),4,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/32d7fa09a33b048d1663aec5a16503ed28b96b60
96,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,335,2026-03-19,a9f8a7e1fa,a9f8a7e1fa4f0d47df8d6af92c0ad69109ec9027,Fix: prevent record navigation when clicking Remove from favorite in nav sidebar (#18760),core product bug fix,packages/twenty-front (7),7,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/a9f8a7e1fa4f0d47df8d6af92c0ad69109ec9027
97,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,medium,353,2026-03-20,7c8f060b08,7c8f060b08d198f2096ec9cafa109e7274d75fdf,Fix orphan navigation menu items for deleted views (#18791),core product bug fix,"packages/twenty-server (6), packages/twenty-front (3)",9,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/7c8f060b08d198f2096ec9cafa109e7274d75fdf
98,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,354,2026-03-20,3d49c21b51,3d49c21b516b8f18b5c424a5be9cb74d06e0f31b,fix: decouple viewPicker favorite detection from sorted navigation menu items (#18803),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/3d49c21b516b8f18b5c424a5be9cb74d06e0f31b
99,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,369,2026-03-21,03a2abb305,03a2abb305d7206879308c689be85b437336191f,fix: board view loads all records instead of showing skeleton placeholders (#18824),core product bug fix,packages/twenty-front (2),2,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/03a2abb305d7206879308c689be85b437336191f
100,3,Frontend Correctness,3A,Navigation and Record UI,3A-01,low,407,2026-03-23,e2c85b5af0,e2c85b5af00ca56622899b24b0f8f7f804bbd538,Fix workspace dropdown truncation and center auth titles (#18869),core product bug fix,packages/twenty-front (5),5,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/e2c85b5af00ca56622899b24b0f8f7f804bbd538
101,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,416,2026-03-24,8eff9efab2,8eff9efab2d26ceaa9f3bd4aa61884a9bf922100,Fix rich text widget edition (#18899),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/8eff9efab2d26ceaa9f3bd4aa61884a9bf922100
102,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,medium,424,2026-03-24,c1ec5567ce,c1ec5567ce7235a34cdbab8c704fdabc8bef4ed3,fix: insert-before folder for workspace DnD and add-to-nav drags (#18789),core product bug fix,packages/twenty-front (16),16,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/c1ec5567ce7235a34cdbab8c704fdabc8bef4ed3
103,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,457,2026-03-25,2bfd2f6b85,2bfd2f6b85227b180ed7052d22373bbc94d93fb8,fix navigation menu item overflow issue (#18937),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/2bfd2f6b85227b180ed7052d22373bbc94d93fb8
104,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,497,2026-03-26,b1e449d764,b1e449d7642f660f2911458f6928675d5a353dc8,fix dashboard widget edit mode content (#18965),core product bug fix,packages/twenty-front (2),2,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/b1e449d7642f660f2911458f6928675d5a353dc8
105,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,499,2026-03-26,b651a74b1f,b651a74b1fa745bd3a3d6950c4a5b481fe03277c,"fix: hide ""Move to folder"" when no destination folder is available (#18992)",core product bug fix,packages/twenty-front (3),3,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/b651a74b1fa745bd3a3d6950c4a5b481fe03277c
106,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,504,2026-03-26,2e015ee68d,2e015ee68dbeb2cc6cd8713b977ccbcf8333fd46,Add missing row lvl permission check on Kanban view (#19002),core product bug fix,"packages/twenty-front (2), packages/twenty-server (2)",4,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/2e015ee68dbeb2cc6cd8713b977ccbcf8333fd46
107,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,medium,513,2026-03-26,8ef99671e2,8ef99671e215cf1151526b4f754df54424ca718f,Fix board drag and drop issues (#19005),core product bug fix,packages/twenty-front (13),13,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/8ef99671e215cf1151526b4f754df54424ca718f
108,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,522,2026-03-26,31718d163c,31718d163cd9b9a99b291f3fe75c2e4757962edf,[Dashboards] fix rich text widget AGAIN (#19017),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/31718d163cd9b9a99b291f3fe75c2e4757962edf
109,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,528,2026-03-27,68f5e70ade,68f5e70ade354e513a8eeeba3e1fb13f463d1cd0,fix: sign file URLs in timeline and file loss on click outside (#19001),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/68f5e70ade354e513a8eeeba3e1fb13f463d1cd0
110,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,561,2026-03-30,ee479001a1,ee479001a1c451fff750be7320b0f2bc70647a27,Fix workspace dropdown (#19106),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/ee479001a1c451fff750be7320b0f2bc70647a27
111,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,566,2026-03-30,b8374f5531,b8374f5531cec0a3cd7d531e6f989b6d64937693,Fix export view (#19117),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/b8374f5531cec0a3cd7d531e6f989b6d64937693
112,3,Frontend Correctness,3A,Navigation and Record UI,3A-02,low,567,2026-03-30,696a202bb9,696a202bb9d648ef832d99d1764a5a5594e13366,Fix navigation menu edition (#19115),core product bug fix,packages/twenty-front (5),5,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/696a202bb9d648ef832d99d1764a5a5594e13366
113,3,Frontend Correctness,3A,Navigation and Record UI,3A-03,low,591,2026-03-31,bcca5d0002,bcca5d00025930ab85331b3c03f07c505a40c344,fix: show disabled file chip when file no longer exists in timeline (#19045),core product bug fix,"packages/twenty-front (3), packages/twenty-ui (2)",5,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/bcca5d00025930ab85331b3c03f07c505a40c344
114,3,Frontend Correctness,3A,Navigation and Record UI,3A-03,low,594,2026-03-31,176e81cd76,176e81cd76e59f7c44be87f39b48a5365bf78441,fix: clear navigation stack immediately in goBackFromSidePanel (#19153),core product bug fix,packages/twenty-front (3),3,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/176e81cd76e59f7c44be87f39b48a5365bf78441
115,3,Frontend Correctness,3A,Navigation and Record UI,3A-03,low,694,2026-04-03,da72075841,da7207584199b6ba6c055d0c12e5ba23f700257c,Fix search fallback command menu item (#19304),core product bug fix,packages/twenty-front (1),1,"Stabilize navigation, board, dashboard, and record-page behavior.","Smoke nav/sidebar drag-drop, boards, dashboards, settings, and dropdown flows.",https://github.com/twentyhq/twenty/commit/da7207584199b6ba6c055d0c12e5ba23f700257c
116,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,8,2026-03-02,1b67ba6a75,1b67ba6a75f39427ccffae6211ebfc5f992242c3,Draft emails fix onblur on text input and callout banner component overflow (#18310),core product bug fix,"packages/twenty-front (3), packages/twenty-ui (1)",4,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/1b67ba6a75f39427ccffae6211ebfc5f992242c3
117,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,medium,86,2026-03-05,7293d4c1f8,7293d4c1f8f2fdc3207b34c1893d5f6bc91e0eb9,Fix missing test input values (#18424),core product bug fix,packages/twenty-front (7),7,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/7293d4c1f8f2fdc3207b34c1893d5f6bc91e0eb9
118,3,Frontend Correctness,3B,"Forms, Inputs, and Editors",3B-01,low,124,2026-03-06,cac4999e9f,cac4999e9fc782e3c994b98fad969d2dd1419f2a,fix: handle Escape in date/datetime pickers and remove ValidationStep any (#18107),core product bug fix,packages/twenty-front (4),4,"Fix form, picker, upload, and editor bugs that affect basic usage.","Smoke onboarding, form fields, date pickers, uploads, and text inputs.",https://github.com/twentyhq/twenty/commit/cac4999e9fc782e3c994b98fad969d2dd1419f2a
